Date Time Lat Long 
23.05.2018 22:01:29 47.4996723 18.9830110
24.05.2018 04:01:37 47.5000407 18.9820836
24.05.2018 14:01:17 47.4998737 18.9821439 
24.05.2018 19:00:50 47.4995420 18.9814602
24.05.2018 22:01:29 47.5009154 18.9791527
25.05.2018 04:01:47 47.5018742 18.9774541
25.05.2018 14:00:49 47.5017417 18.9774800
25.05.2018 19:01:48 47.5016936 18.9766881
25.05.2018 22:00:49 47.5015356 18.9770446 
26.05.2018 04:00:59 47.5018419 18.9773459
26.05.2018 14:03:05 47.5019373 18.9777836
26.05.2018 19:01:23 47.5014337 18.9767834
26.05.2018 22:01:23 47.5021299 18.9763418
27.05.2018 04:00:54 47.5018047 18.9763190
27.05.2018 14:00:59 47.5017595 18.9763837 
27.05.2018 19:01:48 47.5017837 18.9769854
27.05.2018 22:01:01 47.5015687 18.9768136
28.05.2018 04:01:23 47.5016417 18.9765634
28.05.2018 14:01:39 47.5017698 18.9764512
28.05.2018 19:01:01 47.5017785 18.9763222
28.05.2018 22:00:59 47.5018296 18.9763971 
29.05.2018 04:01:49 47.5017589 18.9763382
29.05.2018 14:01:01 47.5017528 18.9763983
29.05.2018 19:00:54 47.5016414 18.9770870
29.05.2018 22:01:49 47.5012575 18.9780106
30.05.2018 04:01:47 47.5017716 18.9764626
30.05.2018 14:02:16 47.5017532 18.9764582
30.05.2018 19:01:19 47.5018263 18.9763186
30.05.2018 22:00:56 47.5019958 18.9763657
31.05.2018 04:01:02 47.5018445 18.9763649
31.05.2018 14:01:54 47.5016842 18.9763594
31.05.2018 19:01:30 47.5019782 18.9768003
31.05.2018 22:01:23 47.5024032 18.9777766 
01.06.2018 04:01:02 47.5017465 18.9763939
01.06.2018 14:01:47 47.5018169 18.9764304
01.06.2018 19:00:56 47.5019110 18.9764076
01.06.2018 22:01:23 47.5023170 18.9764172
02.06.2018 04:01:02 47.5017512 18.9763175
02.06.2018 14:01:01 47.5018137 18.9763888 
02.06.2018 19:01:17 47.5016806 18.9771336
02.06.2018 22:01:01 47.5007439 18.9810157
03.06.2018 04:00:50 47.4998255 18.9820925
03.06.2018 19:01:53 47.4995594 18.9829796
03.06.2018 22:00:49 47.5000104 18.9824444 
04.06.2018 04:00:55 47.4998711 18.9820365
04.06.2018 19:01:24 47.4998715 18.9824479
04.06.2018 22:01:24 47.4985856 18.9850153
05.06.2018 04:01:49 47.4998263 18.9820772
05.06.2018 14:01:46 47.4997053 18.9821227
05.06.2018 19:00:50 47.4997750 18.9814151
05.06.2018 22:00:56 47.5004509 18.9793287
06.06.2018 04:00:55 47.5017947 18.9763390
06.06.2018 14:02:21 47.5018073 18.9764402
06.06.2018 19:01:01 47.5016764 18.9766959
06.06.2018 22:01:01 47.5032410 18.9776097 
07.06.2018 04:01:24 47.5009823 18.9785134
07.06.2018 19:00:49 47.5019290 18.9765371
07.06.2018 22:00:59 47.4990980 18.9852567
08.06.2018 04:01:58 47.4996936 18.9819600
08.06.2018 14:01:29 47.4998951 18.9821855 
08.06.2018 19:01:17 47.4998959 18.9820176
08.06.2018 22:01:00 47.4992270 18.9846527
09.06.2018 04:03:08 47.4993598 18.9836217
09.06.2018 14:03:08 47.4999060 18.9819694
09.06.2018 19:00:59 47.5002513 18.9805037
09.06.2018 22:01:25 47.5006728 18.9809070 
10.06.2018 04:02:52 47.5009542 18.9772375
10.06.2018 14:02:10 47.5020519 18.9764936
10.06.2018 19:00:53 47.5016469 18.9769026
10.06.2018 22:00:59 47.5025019 18.9777186
11.06.2018 04:01:00 47.5020872 18.9776428
11.06.2018 14:01:39 47.5017367 18.9763720
11.06.2018 19:01:19 47.5017677 18.9766214
11.06.2018 22:01:22 47.5003720 18.9811481
12.06.2018 04:01:01 47.4998308 18.9820477
12.06.2018 19:01:24 47.5000961 18.9811108
12.06.2018 22:01:53 47.5006433 18.9798409 
13.06.2018 04:00:59 47.5000429 18.9814693
13.06.2018 14:01:29 47.4998488 18.9820384
13.06.2018 19:00:50 47.4998042 18.9829997
13.06.2018 22:00:49 47.4988776 18.9851628
14.06.2018 04:00:49 47.4997763 18.9820007
